0	0	1
0	0.375	0.93051
0	0.75	0.73169
0	1.125	0.43118
0	1.5	0.070737
0	1.875	-0.29953
0	2.25	-0.62817
0	2.625	-0.86951
0	3	-0.98999
0.375	0	0.93051
0.375	0.375	1
0.375	0.75	0.93051
0.375	1.125	0.73169
0.375	1.5	0.43118
0.375	1.875	0.070737
0.375	2.25	-0.29953
0.375	2.625	-0.62817
0.375	3	-0.86951
0.75	0	0.73169
0.75	0.375	0.93051
0.75	0.75	1
0.75	1.125	0.93051
0.75	1.5	0.73169
0.75	1.875	0.43118
0.75	2.25	0.070737
0.75	2.625	-0.29953
0.75	3	-0.62817
1.125	0	0.43118
1.125	0.375	0.73169
1.125	0.75	0.93051
1.125	1.125	1
1.125	1.5	0.93051
1.125	1.875	0.73169
1.125	2.25	0.43118
1.125	2.625	0.070737
1.125	3	-0.29953
1.5	0	0.070737
1.5	0.375	0.43118
1.5	0.75	0.73169
1.5	1.125	0.93051
1.5	1.5	1
1.5	1.875	0.93051
1.5	2.25	0.73169
1.5	2.625	0.43118
1.5	3	0.070737
1.875	0	-0.29953
1.875	0.375	0.070737
1.875	0.75	0.43118
1.875	1.125	0.73169
1.875	1.5	0.93051
1.875	1.875	1
1.875	2.25	0.93051
1.875	2.625	0.73169
1.875	3	0.43118
2.25	0	-0.62817
2.25	0.375	-0.29953
2.25	0.75	0.070737
2.25	1.125	0.43118
2.25	1.5	0.73169
2.25	1.875	0.93051
2.25	2.25	1
2.25	2.625	0.93051
2.25	3	0.73169
2.625	0	-0.86951
2.625	0.375	-0.62817
2.625	0.75	-0.29953
2.625	1.125	0.070737
2.625	1.5	0.43118
2.625	1.875	0.73169
2.625	2.25	0.93051
2.625	2.625	1
2.625	3	0.93051
3	0	-0.98999
3	0.375	-0.86951
3	0.75	-0.62817
3	1.125	-0.29953
3	1.5	0.070737
3	1.875	0.43118
3	2.25	0.73169
3	2.625	0.93051
3	3	1
